,URL
0,https://mbasic.facebook.com/100006652505738_2323944954503899
1,https://mbasic.facebook.com/100004707065617_1511255655707989
2,https://mbasic.facebook.com/100008351743433_2316542228634146
3,https://mbasic.facebook.com/100008351743433_2059052677716437
4,https://mbasic.facebook.com/100001066815770_2782341571811376
5,https://mbasic.facebook.com/100013579247666_850744192054881
6,https://mbasic.facebook.com/100013579247666_850615005401133
7,https://mbasic.facebook.com/100004940408877_1493664550808211
8,https://mbasic.facebook.com/100006492649809_2899455990280794
9,https://mbasic.facebook.com/100010559775856_991676761194307
10,https://mbasic.facebook.com/100010559775856_986133415081975
11,https://mbasic.facebook.com/100010559775856_984054731956510
12,https://mbasic.facebook.com/100010559775856_982172548811395
13,https://mbasic.facebook.com/100010559775856_971126779915972
14,https://mbasic.facebook.com/100010559775856_927879700907347
15,https://mbasic.facebook.com/100007380360072_2054338898155436
16,https://mbasic.facebook.com/100007380360072_2036231029966223
17,https://mbasic.facebook.com/100007380360072_2027342637521729
18,https://mbasic.facebook.com/100007380360072_2016694161919910
19,https://mbasic.facebook.com/100007380360072_2006390519616941
20,https://mbasic.facebook.com/100007380360072_2001271116795548
21,https://mbasic.facebook.com/100007380360072_1996486197274040
22,https://mbasic.facebook.com/100007380360072_1992518167670843
23,https://mbasic.facebook.com/100007380360072_1988462244743102
24,https://mbasic.facebook.com/100007380360072_1987054468217213
25,https://mbasic.facebook.com/100007380360072_1986556948266965
26,https://mbasic.facebook.com/100007380360072_1981512748771385
27,https://mbasic.facebook.com/100007380360072_1979883318934328
28,https://mbasic.facebook.com/100007380360072_1979005282355465
29,https://mbasic.facebook.com/100007380360072_1977288649193795
30,https://mbasic.facebook.com/100007380360072_1964010807188246
31,https://mbasic.facebook.com/100007380360072_1958589227730404
32,https://mbasic.facebook.com/100007380360072_1949127815343212
33,https://mbasic.facebook.com/100007380360072_1947770892145571
34,https://mbasic.facebook.com/100007380360072_1945276045728389
35,https://mbasic.facebook.com/100007380360072_1919930858262908
36,https://mbasic.facebook.com/100007380360072_1909617359294258
37,https://mbasic.facebook.com/100007380360072_1904962763093051
38,https://mbasic.facebook.com/100006492649809_2899456946947365
39,https://mbasic.facebook.com/100006492649809_2899456473614079
40,https://mbasic.facebook.com/100005366282988_1300692823452915
41,https://mbasic.facebook.com/100006492649809_2899455656947494
42,https://mbasic.facebook.com/100006492649809_2899289836964076
43,https://mbasic.facebook.com/100005306686539_317117695141784
44,https://mbasic.facebook.com/100005306686539_317101751810045
45,https://mbasic.facebook.com/100006492649809_2899289166964143
46,https://mbasic.facebook.com/100006492649809_2899130683646658
47,https://mbasic.facebook.com/100006492649809_2899075353652191
48,https://mbasic.facebook.com/100004735870591_1574784636022717
49,https://mbasic.facebook.com/100008887082221_2224053381234210
50,https://mbasic.facebook.com/100011502991974_126007544459345
51,https://mbasic.facebook.com/100010559775856_1013742138987769
52,https://mbasic.facebook.com/100010559775856_1009346442760672
53,https://mbasic.facebook.com/100010559775856_994331880928795
54,https://mbasic.facebook.com/100006652505738_2629187537312971
55,https://mbasic.facebook.com/100006652505738_2624118777819847
56,https://mbasic.facebook.com/100006652505738_2617452558486469
57,https://mbasic.facebook.com/100006652505738_2565468223684903
58,https://mbasic.facebook.com/100006652505738_2514352472129812
59,https://mbasic.facebook.com/100006652505738_2356453771253017
60,https://mbasic.facebook.com/100006652505738_2349073081991086
61,https://mbasic.facebook.com/100006652505738_2348887792009615
62,https://mbasic.facebook.com/100006652505738_2347678005463927
63,https://mbasic.facebook.com/100006652505738_2346969238868137
64,https://mbasic.facebook.com/100006652505738_2338558633042531
65,https://mbasic.facebook.com/100006652505738_2335068026724925
66,https://mbasic.facebook.com/100004081793731_1844936582319050
67,https://mbasic.facebook.com/100004081793731_1735275259951850
68,https://mbasic.facebook.com/100004081793731_1720912614721448
69,https://mbasic.facebook.com/100004081793731_1630073067138737
70,https://mbasic.facebook.com/100004081793731_1566355283510516
71,https://mbasic.facebook.com/100004081793731_1540846062728105
72,https://mbasic.facebook.com/100004081793731_1508549969291048
73,https://mbasic.facebook.com/100004081793731_1461401777339201
74,https://mbasic.facebook.com/100004081793731_1456898181122894
75,https://mbasic.facebook.com/100004081793731_1439021822910530
76,https://mbasic.facebook.com/100004081793731_1424090144403698
77,https://mbasic.facebook.com/100004081793731_1423426211136758
78,https://mbasic.facebook.com/100004081793731_1370674646411915
79,https://mbasic.facebook.com/100008428776946_1445100209114258
80,https://mbasic.facebook.com/100008428776946_1445098352447777
81,https://mbasic.facebook.com/100008428776946_1444834042474208
82,https://mbasic.facebook.com/100008428776946_1444827142474898
83,https://mbasic.facebook.com/100008428776946_1444735445817401
84,https://mbasic.facebook.com/100008428776946_1444729459151333
85,https://mbasic.facebook.com/100008428776946_1444692095821736
86,https://mbasic.facebook.com/100008428776946_1444679562489656
87,https://mbasic.facebook.com/100008428776946_1444676905823255
88,https://mbasic.facebook.com/100008428776946_1444676365823309
89,https://mbasic.facebook.com/100008428776946_1444613812496231
90,https://mbasic.facebook.com/100004713552869_1543888015778302
91,https://mbasic.facebook.com/327016380979799_498338480514254
92,https://mbasic.facebook.com/327016380979799_495300417484727
93,https://mbasic.facebook.com/327016380979799_367584770256293
94,https://mbasic.facebook.com/100006614167646_2597968677100246
95,https://mbasic.facebook.com/100005306686539_316846838502203
96,https://mbasic.facebook.com/100005306686539_316845855168968
97,https://mbasic.facebook.com/100005306686539_316256125227941
98,https://mbasic.facebook.com/100010270275425_744103755941960
99,https://mbasic.facebook.com/100010270275425_744103585941977
100,https://mbasic.facebook.com/100010270275425_744055809280088
101,https://mbasic.facebook.com/100010270275425_743564392662563
102,https://mbasic.facebook.com/100010270275425_743351412683861
103,https://mbasic.facebook.com/100010270275425_742982439387425
104,https://mbasic.facebook.com/100010270275425_742695719416097
105,https://mbasic.facebook.com/100010270275425_742694276082908
106,https://mbasic.facebook.com/100010270275425_742438196108516
107,https://mbasic.facebook.com/100010270275425_742285416123794
108,https://mbasic.facebook.com/100010270275425_742282616124074
109,https://mbasic.facebook.com/100010270275425_742280362790966
110,https://mbasic.facebook.com/100010270275425_742272736125062
111,https://mbasic.facebook.com/100010270275425_742189646133371
112,https://mbasic.facebook.com/100010270275425_741826419503027
113,https://mbasic.facebook.com/100010270275425_741752849510384
114,https://mbasic.facebook.com/100010270275425_741617779523891
115,https://mbasic.facebook.com/100010270275425_741612772857725
116,https://mbasic.facebook.com/100010270275425_741526859532983
117,https://mbasic.facebook.com/100010270275425_741510592867943
118,https://mbasic.facebook.com/100010270275425_741310186221317
119,https://mbasic.facebook.com/100009904922825_1099165257090295
120,https://mbasic.facebook.com/100009904922825_1098385990501555
121,https://mbasic.facebook.com/100009904922825_1097684470571707
122,https://mbasic.facebook.com/100009904922825_1097636547243166
123,https://mbasic.facebook.com/100009904922825_1097447023928785
124,https://mbasic.facebook.com/100009904922825_1097434823930005
125,https://mbasic.facebook.com/100009904922825_1097242117282609
126,https://mbasic.facebook.com/100009904922825_1096061197400701
127,https://mbasic.facebook.com/100009904922825_1081765482163606
128,https://mbasic.facebook.com/100009904922825_1081764042163750
129,https://mbasic.facebook.com/100006614167646_2597903017106812
130,https://mbasic.facebook.com/100008231496901_2590827904534901
131,https://mbasic.facebook.com/1313650259_10200800110827785
132,https://mbasic.facebook.com/1313650259_2487788516745
133,https://mbasic.facebook.com/1313650259_2066800072297
134,https://mbasic.facebook.com/1313650259_2066473544134
135,https://mbasic.facebook.com/1313650259_2018485544464
136,https://mbasic.facebook.com/1313650259_2018477424261
137,https://mbasic.facebook.com/1313650259_1961133030687
138,https://mbasic.facebook.com/1313650259_1950377761812
139,https://mbasic.facebook.com/1313650259_1933282654445
140,https://mbasic.facebook.com/1313650259_1912558536355
141,https://mbasic.facebook.com/100007343711486_1395689950685782
142,https://mbasic.facebook.com/100007343711486_1395682227353221
143,https://mbasic.facebook.com/100007343711486_1395680637353380
144,https://mbasic.facebook.com/100007343711486_1387708998150544
145,https://mbasic.facebook.com/100007343711486_1386067974981313
146,https://mbasic.facebook.com/100007343711486_1385472815040829
147,https://mbasic.facebook.com/100000484203456_4164326043593495
148,https://mbasic.facebook.com/100000484203456_4164222720270494
149,https://mbasic.facebook.com/100007343711486_1383386508582793
150,https://mbasic.facebook.com/100004081793731_1367734296705950
151,https://mbasic.facebook.com/100004081793731_1346492285496818
152,https://mbasic.facebook.com/100001685979837_2821620257904146
153,https://mbasic.facebook.com/100001685979837_2821361787929993
154,https://mbasic.facebook.com/100005034213572_1438900929621034
155,https://mbasic.facebook.com/100005034213572_1438741632970297
156,https://mbasic.facebook.com/100002383762297_2659095587513207
157,https://mbasic.facebook.com/100006649245948_1932434560321500
158,https://mbasic.facebook.com/100006649245948_1822283214669969
159,https://mbasic.facebook.com/100005034213572_1438297953014665
160,https://mbasic.facebook.com/100008005174180_2567754003501414
161,https://mbasic.facebook.com/100008005174180_2567714126838735
162,https://mbasic.facebook.com/100004211501076_1762554490561584
163,https://mbasic.facebook.com/100004707065617_1511339869032901
164,https://mbasic.facebook.com/100009577532876_1806878076308093
165,https://mbasic.facebook.com/100009577532876_1790279987967902
166,https://mbasic.facebook.com/100009577532876_1766553870340514
167,https://mbasic.facebook.com/100009577532876_1766111230384778
168,https://mbasic.facebook.com/100008428776946_1445151082442504
169,https://mbasic.facebook.com/100008428776946_1445110552446557
170,https://mbasic.facebook.com/100008428776946_1445102735780672
171,https://mbasic.facebook.com/100008428776946_1445100655780880
172,https://mbasic.facebook.com/100009490786170_2580132685646399
173,https://mbasic.facebook.com/100009490786170_2580131475646520
174,https://mbasic.facebook.com/100006455064762_3145185549039916
175,https://mbasic.facebook.com/100008197211951_1987810961502125
176,https://mbasic.facebook.com/100004912608209_470652786441804
177,https://mbasic.facebook.com/100004912608209_468448843328865
178,https://mbasic.facebook.com/100004912608209_468394313334318
179,https://mbasic.facebook.com/100004912608209_464547383719011
180,https://mbasic.facebook.com/100004912608209_456449647862118
181,https://mbasic.facebook.com/100004912608209_404929113014172
182,https://mbasic.facebook.com/100004912608209_382706548569762
183,https://mbasic.facebook.com/100004912608209_372887809551636
184,https://mbasic.facebook.com/100004912608209_358870820953335
185,https://mbasic.facebook.com/100004057524438_1994574230687808
186,https://mbasic.facebook.com/100004973921495_1520412074801242
187,https://mbasic.facebook.com/100003242043062_3014974808620558
188,https://mbasic.facebook.com/100004571317614_1475216372640726
189,https://mbasic.facebook.com/100003242043062_2906800672771306
190,https://mbasic.facebook.com/100003242043062_2887719158012791
191,https://mbasic.facebook.com/100003095293152_2795210523925430
192,https://mbasic.facebook.com/100003242043062_2711223572329018
193,https://mbasic.facebook.com/100003242043062_2685157521602290
194,https://mbasic.facebook.com/100003242043062_2613378302113546
195,https://mbasic.facebook.com/100004973921495_1296365390539246
196,https://mbasic.facebook.com/100015053678827_381950188983434
197,https://mbasic.facebook.com/100005904877239_1353265211546962
198,https://mbasic.facebook.com/100011311303544_236308810089494
199,https://mbasic.facebook.com/100015053678827_231702810674840
200,https://mbasic.facebook.com/100015053678827_227484567763331
201,https://mbasic.facebook.com/100015053678827_227480044430450
202,https://mbasic.facebook.com/100011311303544_235292713524437
203,https://mbasic.facebook.com/100011311303544_235143110206064
204,https://mbasic.facebook.com/100015053678827_201098533735268
205,https://mbasic.facebook.com/100015053678827_200684587109996
206,https://mbasic.facebook.com/100005493785785_1703024296557347
207,https://mbasic.facebook.com/100008499665859_1818851288408176
208,https://mbasic.facebook.com/100013979329429_636210140188291
209,https://mbasic.facebook.com/100008626122776_2030031140627737
210,https://mbasic.facebook.com/100008626122776_2012669005697284
211,https://mbasic.facebook.com/100008626122776_1933968590233993
212,https://mbasic.facebook.com/100008626122776_1931075310523321
213,https://mbasic.facebook.com/100008626122776_1929665553997630
214,https://mbasic.facebook.com/100007442743631_1713949258863149
215,https://mbasic.facebook.com/100008626122776_1925132304450955
216,https://mbasic.facebook.com/100008626122776_1911448529152666
217,https://mbasic.facebook.com/100008626122776_1905132859784233
218,https://mbasic.facebook.com/100007442743631_1568223520102391
219,https://mbasic.facebook.com/100008626122776_1898167313814121
220,https://mbasic.facebook.com/100008626122776_1896369110660608
221,https://mbasic.facebook.com/100004940408877_1493607207480612
222,https://mbasic.facebook.com/100004940408877_1493605100814156
223,https://mbasic.facebook.com/100008223667475_1603515376599236
224,https://mbasic.facebook.com/100008223667475_1602343243383116
225,https://mbasic.facebook.com/100008223667475_1599460017004772
226,https://mbasic.facebook.com/100008223667475_1599396290344478
227,https://mbasic.facebook.com/100011903868186_730959650644157
